ISBN,Title,Author,Original Price,Discounted price,ISBN-10,Series,Published,Format,Language,Number of Pages,Audience,For Ages,For Grades,Publisher,Country of Publication,Dimensions (cm),Weight (kg),Volume Number,Edition Type,Edition Number
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,19.99,18.25,0007461240,C. S. Lewis Signature Classic,1st July 2012,Paperback,English,224,General Adult,14 - 18 years old,9+,HarperCollins Publishers,GB,19.5 x 13 x 2.5,0.21,,,
9780307762528,Blood Meridian,Cormac McCarthy,,,0307762521,Vintage International,11th August 2010,ePUB,English,,,,,Knopf Doubleday Publishing Group,,,,,,
9780743422277,Star Trek,Diane Duane,,5.99,0743422279,Star Trek The Original Series  Book 3,3rd December 2001,ePUB,English,256,General Adult,,,Pocket Books/Star Trek,,,,3,,
9780241290002,Familiar Stranger,Stuart Hall,,15.99,0241290007,,6th April 2017,ePUB,English,256,General Adult,,,Penguin Books Ltd,,,,,,
9780061763403,,,,,,,,,,,,,,,,,,,,
9780463983096,Across the Seas,Griff Hosker,,9.19,0463983092,New World,4th March 2019,ePUB,English,,,,,Griff Hosker,,,,,,
9780241365984,American Royals,Katharine McGee,,9.99,0241365988,,1st September 2019,ePUB,English,368,Children,9 - 12 years old,,Penguin Random House Children's UK,,,,,,
9781322117171,Battle of Okinawa,George Feifer,,,1322117179,,1st January 2001,E-Book,English,531,General Adult,,,Lyons Press,US,,,,,
9780141911717,Homage to Catalonia,George Orwell,,15.99,0141911719,Penguin Modern Classics,5th June 2003,ePUB,English,272,General Adult,,,Penguin Books Ltd,,,,,,
9780141930169,The Twits,Roald Dahl,,9.99,0141930160,,6th September 2007,ePUB,English,112,Children,6 - 8 years old,,Penguin Random House Children's UK,,,,,,
9781250316783,"Red, White & Royal Blue",Casey McQuiston,,,1250316782,,14th May 2019,ePUB,English,,,,,St. Martin's Publishing Group,,,,,,
9780748115358,The Great Hunt,Robert Jordan,,11.99,0748115358,Wheel of Time  Book 2,17th November 2009,ePUB,English,736,General Adult,,,"Little, Brown Book Group",,,,2,Digital original,
9780141342436,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,,9.99,0141342439,Magnus Chase  Book 1,6th October 2015,ePUB,English,528,Children,9 - 12 years old,,Penguin Random House Children's UK,,,,1,,
9780141903125,Boy,Roald Dahl,,9.99,0141903120,,4th September 2008,ePUB,English,192,General Adult,6 - 8 years old,,Penguin Random House Children's UK,,,,,,
9780141928685,Angels,Marian Keyes,,15.99,0141928689,Walsh Family,31st March 2005,ePUB,English,496,General Adult,,,Penguin Books Ltd,,,,3,,
9780755386390,The Lost (Paula Maguire 1),Claire McGowan,,11.99,0755386396,Paula Maguire  Book 1,11th April 2013,ePUB,English,305,General Adult,,,Headline,,,,1,Digital original,
9780230739673,,,,,,,,,,,,,,,,,,,,
9781310517228,Anxiety,Joshua Fletcher,,9.38,1310517223,,22nd March 2016,ePUB,English,,,,,Joshua Fletcher,,,,,,
9780698137653,George Washington's Secret Six,Brian Kilmeade,22.29,17.99,0698137655,,5th November 2013,ePUB,English,288,,,,Penguin Publishing Group,,,,,,1
9780956308641,Driving Over Lemons,Chris Stewart,,,0956308643,,8th August 2011,ePUB,English,304,General Adult,,,Sort Of Books,,,,,,
9781405921107,Jamie's Food Tube,Gennaro Contaldo,,14.99,1405921102,,2nd July 2015,ePUB,English,128,General Adult,,,Penguin Books Ltd,,,,,,
9780575087057,The Name of the Wind,Patrick Rothfuss,,12.99,0575087056,Kingkiller Chronicle,22nd April 2010,ePUB,English,672,General Adult,,,Orion,,,,1,Digital original,
9780440336358,Darkfever,Karen Marie Moning,14.66,11.99,044033635X,Fever  Book 1,31st October 2006,ePUB,English,,,,,Random House Publishing Group,,,,1,,
9780755332557,Kiss,Jill Mansell,26.99,26.25,0755332555,,10th May 2007,Paperback,English,512,General Adult,,,Headline,GB,3.3 x 19.7 x 13,0.37,,,1
9780470901038,Business Model Generation,Alexander Osterwalder,,45.09,0470901039,,23rd July 2010,PDF,English,288,,,,Wiley Professional Development (P&T),,,,,,1
9780698185890,The Wrath and the Dawn,Renée| Ahdieh,,,0698185897,,12th May 2015,ePUB,English,416,,,,,,,,,,1
9780857202994,The Night Stalker,Chris Carter,,12.99,0857202995,,18th August 2011,ePUB,English,464,General Adult,,,Simon & Schuster UK,,,,,,
9780446539654,The Jury Master,Robert Dugoni,,17.99,0446539651,,15th July 2008,ePUB,English,300,General Adult,,,Grand Central Publishing,,,,,Digital original,
9781310869686,"The Dragon's Mountain, Book One",Mark Mulle,,,1310869685,,19th May 2015,ePUB,English,,,3 - 5 years old,,Mark Mulle,,,,,,
9780241242643,The Book of Why,Judea Pearl,,16.99,0241242649,Actiphons,15th May 2018,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780748109265,Blow Fly,Patricia Cornwell,,11.99,0748109269,Kay Scarpetta  Book 12,4th September 2008,ePUB,English,544,General Adult,,,"Little, Brown Book Group",,,,12,Digital original,
9780241980750,The Sapphire Widow,Dinah Jefferies,,15.99,0241980755,,5th April 2018,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780330469364,Aftermath,Peter Robinson,,,0330469363,,4th September 2008,ePUB,English,,,,,,,,,,,
9780241379011,Couples That Work,Jennifer Petriglieri,,18.99,0241379016,,10th October 2019,ePUB,English,304,General Adult,,,Penguin Books Ltd,,,,,,
9780575088436,Time of Contempt,Andrzej Sapkowski,,12.99,0575088435,The Witcher  Book 8,24th June 2013,ePUB,English,320,General Adult,,,Orion,,,,8,Digital original,
9781405927697,Typhoon Fury,Clive Cussler,,15.99,1405927690,The Oregon Files  Book 12,16th November 2017,ePUB,English,480,General Adult,,,Penguin Books Ltd,,,,12,,
9780755350841,The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,,12.99,0755350847,Eagles of the Empire  Book 6,4th September 2008,ePUB,English,448,General Adult,,,Headline,,,,6,Digital original,
9781101117996,The Divine Comedy,Dante Alighieri,25.70,20.99,1101117990,,27th May 2003,ePUB,English,928,,,,Penguin Publishing Group,,,,,,
9781101209356,A Maiden's Grave,Jeffery Deaver,14.66,11.99,1101209356,,1st January 2000,ePUB,English,,,,,Penguin Publishing Group,,,,,,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,,11.99,0755373979,Baltimore Series  Book 2,5th January 2012,ePUB,English,451,General Adult,,,Headline,,,,2,Digital original,
9780755380558,The Snow Child,Eowyn Ivey,,12.99,075538055X,,1st February 2012,ePUB,English,318,General Adult,,,Headline,,,,,Digital original,
9780439023481,The Hunger Games (USA Edition),Suzanne Collins,,44.75,0439023483,Hunger Games,1st October 2008,Hardcover,English,384,Children,12 - 17 years old,7 - 12,Scholastic US,US,21.59 x 15.88 x 3.81,0.45,,,
9781250232984,Made Things,Adrian Tchaikovsky,6.22,5.99,1250232988,,5th November 2019,ePUB,English,,,,,Tor Publishing Group,,,,,,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,,12.99,0141926902,Percy Jackson and The Olympians  Book 2,1st May 2008,ePUB,English,288,Children,9 - 12 years old,,Penguin Random House Children's UK,,,,2,,
9780571333141,Conversations with Friends,Sally Rooney,16.49,14.99,0571333141,,25th May 2017,ePUB,English,272,General Adult,,,Faber & Faber,,,,,Main,1
9781407035536,Strata,Terry Pratchett,,14.99,1407035533,,24th November 2009,ePUB,English,288,General Adult,,,Transworld,,,,,,
9780141966151,Misbehaving,Richard H. Thaler,,16.99,0141966157,,7th May 2015,ePUB,English,256,Professional and Scholarly,0 - 2 years old,,Penguin Books Ltd,,,,,,
9780230225916,,,,,,,,,,,,,,,,,,,,
9780804141116,Surrender Experiment,Michael A Singer,,,0804141118,,1st January 2015,E-Book,English,,General Adult,,,Potter/Tenspeed/Harmony,US,,,,,
9780141929385,My East End,Gilda O'Neill,,15.99,0141929383,,28th September 2000,ePUB,English,384,General Adult,,,Penguin Books Ltd,,,,,,
9781471144011,Dork Diaries,Rachel Renee Russell,,,1471144011,Dork Diaries,2nd June 2015,Paperback,English,304,Children,9+ years old,4 - 6,Simon & Schuster UK,GB,19.5 x 13 x 2.5,0.25,,,
9780141964089,The Promise,Lesley Pearse,,15.99,0141964081,Belle,19th January 2012,ePUB,English,528,General Adult,,,Penguin Books Ltd,,,,,,
9780141929576,Artemis Fowl and The Arctic Incident,Eoin Colfer,,9.99,014192957X,Artemis Fowl  Book 2,6th June 2002,ePUB,English,336,Children,9 - 12 years old,,Penguin Random House Children's UK,,,,2,,
9780141957869,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,,15.99,0141957867,,2nd September 2010,ePUB,English,304,Professional and Scholarly,,,Penguin Books Ltd,,,,,,
9780141929743,Excalibur,Bernard Cornwell,,15.99,014192974X,Warlord Chronicles  Book 3,1st November 2007,ePUB,English,496,General Adult,,,Penguin Books Ltd,,,,3,,
9780544836730,Myers+Chang at Home,Joanne Chang,46.19,36.99,0544836731,,19th March 2024,ePUB,English,320,,,,HarperCollins,,,,,,
9781328527905,Click,Kayla Miller,,,1328527905,A Click Graphic Novel,8th January 2019,ePUB,English,,,9 - 12 years old,,HMH Books,,,,,,
9780307965493,Mastering Color Knitting,Melissa Leapman,15.42,12.99,030796549X,,13th July 2011,ePUB,English,,,,,Clarkson Potter/Ten Speed,,,,,,
9780547928517,Son,Lois Lowry,,,0547928513,,2nd October 2012,ePUB,English,400,,12+ years old,7+,,,,,,,
9780646987286,How I Became The Fittest Woman On Earth,Tia-Clair Toomey,17.59,16.99,0646987283,,22nd January 2018,ePUB,English,202,Professional and Scholarly,,,BL SOUTHWICK PUBLISHING PTY LTD,,,,,,1
9781101042182,Dubliners,James Joyce,8.55,7.99,1101042184,,6th February 2007,ePUB,English,272,,,,Penguin Publishing Group,,,,,,
9780761174981,Stitch 'N Bitch Crochet,Debbie Stoller,,23.99,0761174982,,13th February 2006,ePUB,English,250,,,,Workman Publishing Company,,,,,,
9781365501210,Walk Into Silence,Susan McBride,,,1365501213,,1st November 2016,ePUB,English,,,,,,,,,,,1
9780748115396,Lord of Chaos,Robert Jordan,,12.99,0748115390,Wheel of Time  Book 6,16th March 2010,ePUB,English,1056,General Adult,,,"Little, Brown Book Group",,,,6,Digital original,
9780857208347,A Wartime Christmas,Carol Rivers,,8.99,0857208349,,1st August 2013,ePUB,English,464,General Adult,,,Simon & Schuster UK,,,,,,
9780755376605,Blood Ties,Samantha Hayes,,12.99,0755376609,,4th March 2010,ePUB,English,307,General Adult,,,Headline,,,,,Digital original,
9780785170655,Infinity Gauntlet,Jim Starlin,16.12,12.99,0785170650,,28th May 2014,ePUB,English,,,,,Marvel Entertainment,,,,,,
9781405926959,No Way Back,M. J. Arlidge,,2.99,1405926953,DI Helen Grace Novellas  Book 1,8th August 2016,ePUB,English,40,General Adult,,,Penguin Books Ltd,,,,1,Digital original,
9780241397817,Feel Better In 5,Dr Rangan Chatterjee,,19.99,0241397812,,26th December 2019,ePUB,English,272,General Adult,,,Penguin Books Ltd,,,,,,
9781405919470,Nine Perfect Strangers,Liane Moriarty,,,1405919477,,4th October 2018,ePUB,English,,,,,Penguin Books Ltd,,,,,,
9780316338363,The Fishermen,Chigozie Obioma,,,0316338362,,14th April 2015,E-Book,English,352,General Adult,,,Little Brown and Company,US,,,,,
9780991190928,Escaping Destiny,Amelia Hutchins,,6.99,0991190920,The Fae Chronicles  Book 3,30th July 2015,ePUB,English,,,,,Amelia Hutchins,,,,3,,
9780141967561,The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,,12.99,0141967560,Heroes of Olympus  Book 3,2nd October 2012,ePUB,English,592,Children,6 - 8 years old,,Penguin Random House Children's UK,,,,3,,
9780470893869,The Five Dysfunctions of a Team,Patrick M. Lencioni,,32.99,0470893869,J-B Lencioni Series  Book 13,3rd June 2010,ePUB,English,240,General Adult,,,Wiley Professional Development (P&T),US,,,13,,1
9780698407091,Christmas Bells,Jennifer Chiaverini,18.85,15.99,0698407091,,27th October 2015,ePUB,English,,,,,Penguin Publishing Group,,,,,,
9780857206473,The 7 Habits Of Highly Effective Teenagers,Sean Covey,,16.99,0857206478,,31st March 2011,ePUB,English,288,General Adult,,,Simon & Schuster UK,,,,,,
9780141919959,Nineteen Eighty-Four,George Orwell,,10.99,0141919957,Penguin Modern Classics,29th January 2004,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9781310839696,The King's Men,Nora Sakavic,,1.43,1310839697,,19th May 2015,ePUB,English,,,,,Nora Sakavic,,,,,,
9780061949098,,,,,,,,,,,,,,,,,,,,
9780307978882,I'm a T. Rex!,Dennis R. Shealy,8.79,7.99,0307978885,Little Golden Book,25th April 2012,ePUB,English,,,0 - 2 years old,,Random House Children's Books,,,,,,
9780230770072,,,,,,,,,,,,,,,,,,,,
9780486114750,Dracula,Bram Stoker,,1.45,0486114759,Dover Thrift Editions Classic Novels,6th February 2012,ePUB,English,336,,9 - 12 years old,,Dover Publications,,,,,,1
9781405935166,Lucy Sullivan is Getting Married,Marian Keyes,,15.99,1405935162,,13th July 2017,ePUB,English,672,General Adult,,,Penguin Books Ltd,,,,,,
9780141941448,The Beach,Alex Garland,,15.99,0141941448,,5th July 2007,ePUB,English,448,General Adult,,,Penguin Books Ltd,,,,,,
9780575087309,The Green Mile,Stephen King,,13.99,0575087307,,25th November 2010,ePUB,English,448,General Adult,,,Orion,,,,,Digital original,
9780553904567,Persuasion,Jane Austen,,3.99,0553904566,,29th January 2008,ePUB,English,,,,,Random House Publishing Group,,,,,,
